id,build,issueDate,mileage
100,Audi,12.10.2019,48838
101,Audi,27.06.2019,21994
102,Mitsubishi,26.07.2019,11610
103,Chrysler,19.03.2021,43192
104,Chrysler,07.08.2019,67783
105,Audi,07.04.2021,87757
106,Chrysler,10.12.2019,59171
107,Chrysler,20.06.2020,19206
108,Chrysler,,84568
109,Volkswagen,23.07.2020,29238
110,Volkswagen,07.08.2019,10398
111,Mitsubishi,25.05.2021,77324
112,Audi,22.02.2021,57402
113,Volkswagen,19.05.2021,18908
114,Chrysler,20.06.2020,65767
115,Chrysler,09.04.2020,22192
116,Mercedes,03.12.2020,83855
117,Chrysler,17.12.2020,18502
118,Audi,26.02.2021,76829
119,Mitsubishi,16.05.2021,57141
120,Mercedes,14.04.2021,89931
121,Mitsubishi,30.10.2020,84928
122,Mitsubishi,17.03.2021,84330
123,Volkswagen,29.04.2020,66912
124,Audi,27.12.2019,20592
125,Mercedes,02.07.2020,69256
126,Volkswagen,29.09.2020,39925
127,Volkswagen,22.02.2021,55061
128,Mitsubishi,31.08.2020,55366
129,Chrysler,09.01.2020,65312
130,Chrysler,10.08.2019,58696
131,Mitsubishi,14.11.2019,92398
132,Audi,26.03.2021,66112
133,Chrysler,29.06.2019,48712
134,Mitsubishi,26.06.2019,63509
135,Mercedes,04.01.2021,62949
136,Volkswagen,16.04.2021,57090
137,Mitsubishi,19.06.2019,47028
138,Audi,21.08.2020,16937
139,Mercedes,18.09.2019,78108
140,Chrysler,12.02.2020,92795
141,Mitsubishi,21.07.2019,92522
142,Audi,15.02.2020,22768
143,Chrysler,02.06.2019,65459
144,Volkswagen,28.02.2021,16003
145,Mitsubishi,21.12.2020,57718
146,Mercedes,10.10.2020,76969
147,Chrysler,01.11.2020,78038
148,Audi,10.11.2019,11263
149,Volkswagen,11.07.2020,50384
150,Volkswagen,08.12.2019,43659
151,Mitsubishi,24.08.2019,17275
152,Audi,03.08.2019,83953
153,Volkswagen,02.11.2020,75485
154,Volkswagen,21.03.2020,76655
155,Mitsubishi,08.05.2021,59406
156,Audi,10.06.2020,66431
157,Volkswagen,31.10.2020,30775
158,Volkswagen,04.12.2019,45878
159,Mercedes,15.01.2021,71001
160,Mercedes,03.05.2020,40030
161,Mitsubishi,07.08.2019,11703
162,Mercedes,07.09.2020,40245
163,Audi,01.07.2019,12641
164,Mercedes,22.10.2020,74862
165,Mitsubishi,29.11.2020,47654
166,Volkswagen,24.01.2020,90252
167,Audi,18.11.2020,71236
168,Volkswagen,14.08.2019,52182
169,Mercedes,13.11.2019,47773
170,Mitsubishi,27.03.2021,28283
171,Audi,22.01.2021,80978
172,Mercedes,24.06.2020,78120
173,Mitsubishi,02.05.2021,31729
174,Audi,20.08.2020,44020
175,Audi,18.09.2019,24602
176,Mercedes,24.09.2019,66182
177,Mitsubishi,04.06.2020,82732
178,Mitsubishi,31.10.2019,60561
179,Mitsubishi,31.10.2020,98411
180,Mercedes,01.07.2020,78298
181,Chrysler,17.06.2020,78751
182,Mitsubishi,23.12.2020,84277
183,Mercedes,25.02.2020,98206
184,Audi,31.12.2020,56210
185,Mitsubishi,31.12.2020,18845
186,Audi,05.04.2020,25903
187,Chrysler,06.03.2020,72302
188,Volkswagen,26.10.2019,42080
189,Mitsubishi,13.02.2020,57159
190,Mitsubishi,16.05.2020,93442
191,Mitsubishi,17.03.2020,53242
192,Chrysler,13.08.2020,61168
193,Mitsubishi,05.06.2020,18084
194,Volkswagen,30.12.2020,73942
195,Chrysler,24.11.2019,67362
196,Mitsubishi,07.02.2021,55884
197,Chrysler,07.08.2020,32432
198,Volkswagen,10.01.2021,81162
199,Chrysler,06.08.2019,18283
